GSM2807157_BH160152-1_PSA10.4_HG-U133_Plus_2_.CEL GSM2807158_BH160152-1_PSA10.91_HG-U133_Plus_2_.CEL GSM2807159_BH160152-1_PSA6.17_HG-U133_Plus_2_.CEL GSM2807160_BH160152-1_PSA8.9_HG-U133_Plus_2_.CEL GSM2807161_BH160152-1_PSA17.23_HG-U133_Plus_2_.CEL GSM2807162_BH160152-1_PSA41.74_HG-U133_Plus_2_.CEL GSM2807163_BH160152-1_PSA435.9_HG-U133_Plus_2_.CEL GSM2807164_BH160152-1_PSA94.89_HG-U133_Plus_2_.CEL
A1BG 4.00750392045042 3.34940199405576 3.99712897040155 4.12744551199741 1.96489405395197 2.04108772558378 4.53079204488374 5.76981886074404
A1BG-AS1 1.3740206411813 1.07040869787195 1.48287613795226 1.30763640738469 3.93939353203573 1.58398975468358 3.97922995036473 2.54813997200707
A1CF 2.58924546254433 2.56014016292246 1.81386226806685 2.78412796021541 1.7281565175445 2.42836199926434 2.77103459336211 3.04178544795603
A2M 6.87918552902219 6.75926304627858 7.1030700373747 6.50387150322547 7.26375751757255 7.45911784007163 6.86113796890574 7.29013130821849
A2M-AS1 5.6333897693452 6.09436318873059 5.50279005191064 5.87793627936887 5.92317754874151 6.36713495255307 5.75194303445967 6.26761295565534
A2ML1 0.964919113734405 2.74141926050534 2.1141831051127 2.38779177713666 2.75378206777108 3.1408610109969 1.28939118480869 1.46172239864827
A2MP1 3.56869170064544 2.90685108983065 3.42843007504779 4.26061936758735 4.05708200367082 1.53216188855902 1.37921713591817 2.55382593463925
A4GALT 3.19513319198888 2.65762537998288 3.08932764874507 1.21127994250863 1.21790102648719 2.96513325851117 4.07425755958274 1.47460256401548
A4GNT 2.82868709493668 4.02914257369862 2.53201684498476 3.27137772464597 3.51688562224474 3.82964676831183 3.79355117566041 3.73292804396781
AA06 1.64217532004042 1.46582736020739 1.48682736085602 2.81389189943864 3.74106913953821 2.91277593396849 1.60984443363935 3.15452392672364
AAAS 5.58413641566654 5.58140635482735 4.60111781496536 5.08306849229286 5.4821851720848 5.08505890391275 5.48002666529128 5.52252354814168
