logFC AveExpr t P.Value adj.P.Val B
A1BG -0.600411015486641 3.72350913525858 -0.856893500606536 0.415650599674601 0.701393572606242 -6.21492763417575
A1BG-AS1 1.60713866179201 2.16071188668516 3.4746885949184 0.00796881126650664 0.115260399851268 -2.55074376438751
A1CF -0.0280306197036837 2.46458930148451 -0.0828524872649125 0.935939923014845 0.976944180790253 -6.59799995841006
A2M 0.458223575145611 7.01494184383367 2.11465947864469 0.0662767850706057 0.307938272714997 -4.64342034591528
A2M-AS1 0.334261572200312 5.92729347259561 1.56595106956366 0.154776671542688 0.447054014453101 -5.42292835295275
A2ML1 0.284132370447807 2.10675873983925 0.518337982539446 0.617806795799491 0.831091088463538 -6.45630568469489
A2MP1 -1.26802363748563 2.96085989948731 -2.25174941632949 0.0533791302382064 0.278750255227409 -4.43665438053002
A4GALT 0.00652373762530756 2.48565757147776 0.00884473437015749 0.993152738691465 0.998223221905331 -6.6017332081075
A4GNT 0.613137307938303 3.44177948105635 1.77843096079261 0.112008275060499 0.387358082065467 -5.13266374587395
AA06 0.933471299971554 2.35336692180152 1.82439679558768 0.104334422760393 0.375319602537688 -5.06767602220353
AAAS 0.183790143249007 5.30244042089783 0.631977137468684 0.544478703589357 0.786312518553389 -6.38720646368597
AACS -0.026351365839254 8.14883893444057 -0.141551994045708 0.890822712740842 0.960022750383169 -6.59076249283481
AACSP1 0.562930888528508 0.680107766719744 1.53038090128937 0.163242175851106 0.458119222514331 -5.46967291221062
AADAC 0.200363635053067 0.983376973047762 1.32732841926751 0.21988384394204 0.525699141949426 -5.72444618166025
AADACL2 -0.58774519191634 0.831369692904453 -1.11928783810574 0.294481073429748 0.599101809259097 -5.96065075167436
AADACP1 0.467458878234079 0.768843482478566 1.08784302734158 0.307359271052999 0.6120964697026 -5.99385321861173
AADAT -0.270590716893157 7.59588935132417 -1.20193038931438 0.262686435027133 0.570613830331576 -5.87014787413402
AAGAB 0.140689570105419 6.35906570467218 0.811940538521546 0.439576848883585 0.716835529016597 -6.25294752378421
AAK1 0.180344772253767 4.67749229684037 0.978818241219844 0.35544116326764 0.652418015614711 -6.1033867090905
AAMDC -0.479376017080701 5.88840810390112 -1.35616775750405 0.210922470348482 0.515673422114441 -5.68960846061772
AAMP 0.485156484248384 8.906966085511 1.49875622031744 0.171114401389465 0.467922581265517 -5.51073609978219
AANAT 0.309251573554647 1.50139555762543 0.897573479369792 0.394800214714223 0.683614383945601 -6.17905495690387
AAR2 0.233322683089317 7.52842612003877 1.51295065002153 0.167540085734875 0.463973079990674 -5.49236425073656
AARS1 -0.0682466554131569 8.1409198611431 -0.447901903184869 0.665729286088215 0.857759469610063 -6.49270927597455
AARS2 -0.12896253508176 5.57334198038054 -0.554484009806488 0.593926735906765 0.818520287189243 -6.43569559691583
AASDH 0.186185676386494 7.41087536658362 0.982116173384362 0.353907545103804 0.651253927204434 -6.10020501359148
AASDHPPT -0.133906170798944 6.3877337375293 -0.769002643794589 0.463293310105932 0.732613054361133 -6.287632331751
AASS -0.0638655322889274 6.85990581509045 -0.270842963426641 0.793151608283444 0.920249139781498 -6.5615860874546
AATBC -0.709572292274394 3.98587847611946 -0.689263839053077 0.509537054170649 0.764452189529365 -6.34768067910113
AATF 0.777632298184045 7.21930931803971 4.87028783329227 0.00112796512822177 0.0490401744904149 -0.566632324964231
AATK -0.112522571427034 6.46748577633324 -0.489183234579616 0.637426550932622 0.842850753558071 -6.47198114810391
ABAT -1.14722414367882 7.78896328714298 -3.81325376163884 0.00483420353909169 0.0915319674776671 -2.0445130518246
