logFC AveExpr t P.Value adj.P.Val B GENE
A2BP1 -3.1799995 3.41811935 -5.338628 0.001786841 0.035329977 -0.918949017 54715
ABCC3 -2.932159 6.1111892 -8.960946 0.0001078481 0.010440394 1.998776025 8714
ABCC9 -2.68786166666667 3.353281 -7.655262 0.000399925473333333 0.0165732216666667 1.00895402666667 10060
ABHD12 1.536639 9.5636095 5.363833 0.0017238395 0.0346111025 -0.891620269 26090
ABP1 -5.894146 5.3047623 -4.95817 0.002556508 0.042031128 -1.315762111 26
ACAA2 -2.294785 7.3777541 -6.905259 0.0004558214 0.018170832 0.51887765 10449
ACACB -1.672584 4.7305146 -6.342983 0.0007189462 0.022759045 0.038863618 32
ACOX2 -4.085337 7.5245259 -10.77731 3.77241e-05 0.008695089 3.025450481 8309
ACSF2 -4.133972 6.3515269 -11.94408 2.08553e-05 0.008596569 3.579181341 80221
ACSM1 4.540648 11.2062121 12.88396 1.343747e-05 0.008596569 3.975875088 116285
ACSS3 -3.313465 5.2331688 -9.922483 6.052518e-05 0.009021659 2.569918313 79611
ACTA2 -2.940974 13.5884833 -8.770403 0.0001217135 0.010894794 1.877380943 59
ACTBL2 -3.893937 11.7870572 -8.359465 0.0001592559 0.011694785 1.605498052 345651
ACTG2 -3.449464 15.2680748 -5.151821 0.002111134 0.038505586 -1.110195238 72
ACTN1 -2.009019 11.6708296 -5.136217 0.0021505645 0.0387527915 -1.1269956455 87
ACTN3 -1.98862 6.4076766 -5.748366 0.001205963 0.029076827 -0.51086651 89
ACY1 1.586662 10.9828988 5.334536 0.001770149 0.035106585 -0.921277478 95
ADAM23 -1.931313 3.5270611 -9.218274 9.192079e-05 0.009904427 2.158241444 8745
ADAM33 -2.057892 6.57944075 -5.66022 0.00160295165 0.0321733535 -0.6270719405 80332
ADAMTS3 1.2753005 3.2849379 5.4119095 0.00170541 0.0342821525 -0.8478104675 9508
ADAMTS5 -2.412764 8.5106032 -6.065314 0.0009110032 0.025354126 -0.212203115 11096
ADAMTS8 -4.12319 4.6905417 -4.821882 0.00293397 0.045445934 -1.463800826 11095
ADD3 -1.688472 9.72617105 -5.0193265 0.0024908075 0.0415581725 -1.2549328265 120
ADFP -1.133156 6.6268783 -5.450205 0.001586783 0.03313036 -0.804158214 123
ADH5 -1.59818366666667 9.73468656666667 -8.179365 0.00048422091 0.0162995703333333 1.33021301966667 128
ADH5P4 -1.075731 10.161797 -5.630274 0.001342739 0.030573282 -0.625568023 642443
ADRA2C -1.95308 8.9675426 -7.662215 0.0002582191 0.014302025 1.110280746 152
AEBP1 -1.8445455 9.4726737 -5.5912605 0.0014377525 0.031488392 -0.66854897 165
AGL -1.214475 8.8944028 -5.49308 0.001524387 0.032660774 -0.761226413 178
AGPAT9 -1.964013 4.4286157 -5.212188 0.001990833 0.037325002 -1.047243036 84803
AGPS -1.75780066666667 5.811412 -6.98810966666667 0.00121640463333333 0.0245252566666667 0.429586250666667 8540
AHNAK2 -3.14517066666667 4.7903113 -12.66526 3.12837626666667e-05 0.00866988166666667 3.68224570766667 113146
AIFM2 -1.816255 8.2238822 -5.7068915 0.0012685415 0.0296395405 -0.5528203445 84883
AJAP1 -2.934622 4.6807938 -4.688533 0.00336545 0.049025863 -1.611381304 55966
AKAP11 -1.4319765 7.2739056 -5.7511195 0.00196404705 0.034113986 -0.5874102435 11215
AKAP7 -2.240158 9.6448884 -6.288579 0.0007526042 0.023133881 -0.009572933 9465
AKR1B1 -1.350967 8.4619392 -6.552146 0.000604669 0.020873599 0.221743563 231
ALCAM 1.3879645 7.7639875 4.673594 0.003518529 0.049623605 -1.6317605035 214
ALDH3B2 2.963277 5.1391059 4.686386 0.003372962 0.049077539 -1.613780043 222
ALOX12P2 -2.547988 3.7660287 -9.369716 8.382395e-05 0.009487436 2.249761903 245
ALS2CR4 -1.6098439 7.6834789 -6.0730335 0.0030188213 0.0389967885 -0.4345949485 65062
AMOTL2 -1.509688 11.0776323 -4.685376 0.0033765 0.049077539 -1.614908034 51421
AMT -1.715313 8.8727364 -5.851543 0.0012333676 0.028748078 -0.4294431905 275
AMY1C -2.069803 7.8159235 -4.70217 0.003318182 0.048703083 -1.596163828 278
ANGPTL2 -1.5936835 7.7546977 -6.4193865 0.00085699815 0.0235352475 0.0676729105 23452
ANGPTL4 -2.964544 7.2383604 -8.813808 0.0001183821 0.010894794 1.905288226 51129
ANGPTL7 -3.357807 6.0226522 -11.39224 2.741084e-05 0.008596569 3.326369367 10218
ANKRD10 -1.2867025 8.28446845 -5.867582 0.00177483195 0.032412821 -0.477558846 55608
ANKRD35 -4.066058 9.6748856 -7.350057 0.0003245035 0.015740067 0.873578554 148741
ANKRD5 1.174779 5.80649075 6.142959 0.00101929175 0.0258373775 -0.1689879675 63926
ANO1 -1.80589433333333 5.58003346666667 -5.401569 0.00205522753333333 0.0365690106666667 -0.889245755333333 55107
ANO5 -5.716913 5.5676566 -6.144469 0.0008508384 0.024567344 -0.139645847 203859
