logFC AveExpr t P.Value adj.P.Val B GENE
A1BG -1.81750165 4.0350793 -2.04822425 0.217182675 0.4135939945 -4.933408676 1
A1CF 0.41936 0.8120349 1.881019 0.108998 0.336935749 -5.266553061 29974
A2BP1 -3.1799995 3.41811935 -5.338628 0.001786841 0.035329977 -0.918949017 54715
A2LD1 0.09375184 8.320398 0.1747437 0.8670281 0.94100175 -6.849528124 87769
A2M -0.5763808 13.0782971 -1.125393 0.3034131 0.600542547 -6.204645154 2
A2ML1 0.2320105 6.692256 1.031387 0.3421273 0.640102213 -6.302436345 144568
A3GALT2 -0.1625773 1.1796401 -0.2369218 0.8205988 0.921293306 -6.834862682 127550
A4GALT -0.8331623 8.0972388 -2.553438 0.04328741 0.197857828 -4.332785289 53947
A4GNT -0.3523257 0.9462271 -0.6111226 0.5635373 0.800442811 -6.658075878 51146
AAAS -0.03254049 8.535655 -0.1688357 0.8714735 0.94324308 -6.85069383 8086
AACS 0.2554037 9.9240627 1.21406 0.2703355 0.562813414 -6.107415079 65985
AADAC -0.01443972 0.422814 -0.06149 0.952966 0.980064488 -6.864924319 13
AADACL1 0.4680228 8.8761103 2.450884 0.04972871 0.213560208 -4.476133865 57552
AADACL2 0.06706812 0.4356517 0.3158736 0.7627969 0.894956705 -6.810000788 344752
AADAT -0.7858853 8.360324 -3.017046 0.0234846 0.138666 -3.692197126 51166
AAK1 0.3708212 3.6402124 0.59715525 0.5783085 0.804311218 -6.652892927 22848
AAMP 0.5470243 11.3406814 2.015944 0.09040417 0.301113119 -5.081981018 14
AANAT 0.0381842 5.652555 0.2030012 0.8458429 0.932221105 -6.843404805 15
AARS 0.1345793 9.31612 0.6897291 0.5161383 0.774920427 -6.603001844 16
AARS2 -0.1163479 9.5073674 -0.4660695 0.6576045 0.849779383 -6.743981171 57505
AARSD1 -0.73368239 6.9813019 -1.96186665 0.387321844 0.480533425 -4.47599997 80755
AASDH -0.0587281666666667 5.03723766666667 -0.299328866666667 0.5749768 0.750545514 -6.45100751233333 132949
AASDHPPT -0.189506033333333 9.23106696666667 -1.01636173333333 0.3971431 0.649141989 -6.24438333366667 60496
AASS -0.1781334 6.8697493 -0.4372034 0.6772601 0.85892945 -6.75852871 10157
AATF 0.5591087 9.90316245 2.3546695 0.056841755 0.231011685 -4.610725259 26574
AATK -0.631045633333333 5.82682036666667 -1.14194143333333 0.19044337 0.421377297 -5.372736673 9625
ABAT -0.6156758 9.3823996 -1.11438125 0.3952734 0.6112866915 -6.081178673 18
ABCA1 0.184539054333333 3.62164953333333 0.563166083333333 0.695201633333333 0.794483966 -6.44420295166667 19
ABCA10 -0.4846618 3.7315883 -1.602695 0.1601194 0.421889532 -5.635777772 10349
ABCA11P -0.8084773 6.0014268 -3.342468 0.01556265 0.110446671 -3.255319557 79963
ABCA12 0.7245364 1.7172437 0.8303648 0.4381158 0.723257358 -6.490649251 26154
ABCA13 1.304256 1.1128056 1.556952 0.1704854 0.437113333 -5.694425855 154664
ABCA17P -1.113841 5.346128 -1.556262 0.1706464 0.437202463 -5.695304642 650655
ABCA2 0.03002107 6.6142813 0.09437203 0.9278861 0.968266246 -6.861969665 20
ABCA3 0.06225019 10.0176494 0.1564235 0.8808294 0.94692373 -6.853013442 21
ABCA4 -0.4031891 3.4153325 -1.4614 0.1942118 0.469852823 -5.814571115 24
ABCA5 -0.17259151 8.83956495 -0.7041413 0.5459518 0.752898875 -6.5110348405 23461
ABCA6 -0.3591569 5.05512225 -0.59003895 0.5962752 0.8016746815 -6.624363512 23460
ABCA7 -0.4304548 6.9803534 -1.013952 0.3497324 0.64730907 -6.319929378 10347
ABCA8 -2.251756 5.3666418 -3.110676 0.02082931 0.129702606 -3.565194382 10351
ABCA9 -1.247413 2.9153163 -2.79942 0.03118584 0.164402201 -3.990848906 10350
ABCB1 -1.18712227 4.90009369 -4.5817294 0.0249980811 0.0900624376 -1.8018879039 5243
ABCB10 -0.471906025 5.60150775 -1.960117 0.12492802 0.34524375125 -5.13949843825 23456
ABCB11 2.033542 2.1548734 2.456617 0.04934314 0.212492242 -4.468113576 8647
ABCB4 0.08852935 0.9576169 0.1157444 0.9116316 0.961213108 -6.859382829 5244
ABCB5 0.3905667 1.7501089 0.594943 0.5736171 0.804880606 -6.668687297 340273
ABCB6 0.3595452 9.96376825 1.2499105 0.2590435 0.549654696 -6.0652577395 10058
ABCB7 0.1759632 8.9618338 0.814609 0.4464139 0.729412722 -6.504075422 22
ABCB8 0.8051996 5.5707175 3.55246 0.01203505 0.095706314 -2.980781652 11194
ABCB9 -0.18124068 4.14426565 -0.26674665 0.71291485 0.868193963 -6.737564356 23457
ABCC1 0.2255478 6.6766883 0.4857557 0.6443684 0.843597062 -6.733564764 4363
ABCC10 -0.6260796 7.3005666 -2.897885 0.02740818 0.151960374 -3.855175317 89845
ABCC11 5.018727 6.7271888 2.631939 0.03895624 0.186594487 -4.223294048 85320
ABCC12 2.903559 3.0180849 2.148181 0.07529246 0.272640798 -4.898920854 94160
ABCC13 0.1688934 1.14783596666667 0.742280733333333 0.535384466666667 0.713650233666667 -6.32664407333333 150000
ABCC2 -0.26621845 3.03448225 -1.05758085 0.38780835 0.627852803 -6.186423809 1244
ABCC3 -2.932159 6.1111892 -8.960946 0.0001078481 0.010440394 1.998776025 8714
ABCC4 1.845906 7.56527246666667 4.47328566666667 0.00428322333333333 0.0552057333333333 -1.85710846966667 10257
ABCC5 0.44099435 7.3346931 1.967627 0.1800804 0.3919320455 -5.0788772535 10057
ABCC6 -2.43568066666667 5.44782383333333 -4.23644066666667 0.00591264933333333 0.0643933056666667 -2.14209844833333 368
ABCC8 -0.2533331 7.549952 -0.3847933 0.7136597 0.87505013 -6.782701233 6833
ABCC9 -2.68786166666667 3.353281 -7.655262 0.000399925473333333 0.0165732216666667 1.00895402666667 10060
ABCD1 -0.5672714 5.8551876 -1.884682 0.1084459 0.335996345 -5.261579898 215
ABCD2 -0.3367245 0.9436044 -0.4139084 0.6933288 0.865553156 -6.769632185 225
ABCD3 -0.1262989503 4.43167555 -0.6259740115 0.62803855 0.773418725 -6.4652384865 5825
ABCD4 -0.3628601 8.2288702 -1.895045 0.106899 0.333014285 -5.247499268 5826
ABCE1 -0.01602838 6.8468466 -0.0765442 0.75680215 0.8933115405 -6.8033775375 6059
ABCF1 0.1836633 10.3876112 0.8774856 0.4139723 0.705950104 -6.449293742 23
ABCF2 0.5205634 7.51650385 1.789955 0.1695884 0.400956491 -5.344763631 10061
ABCF3 0.3469662 10.1261897 1.416951 0.2062642 0.485687144 -5.869258826 55324
ABCG1 1.420086 8.8163743 2.99152 0.02427079 0.141028709 -3.726988217 9619
