GENE logFC AveExpr t P.Value adj.P.Val B
A1BG 1 -1.81750165 4.0350793 -2.04822425 0.217182675 0.4135939945 -4.933408676
A1CF 29974 0.41936 0.8120349 1.881019 0.108998 0.336935749 -5.266553061
A2BP1 54715 -3.1799995 3.41811935 -5.338628 0.001786841 0.035329977 -0.918949017
A2LD1 87769 0.09375184 8.320398 0.1747437 0.8670281 0.94100175 -6.849528124
A2M 2 -0.5763808 13.0782971 -1.125393 0.3034131 0.600542547 -6.204645154
A2ML1 144568 0.2320105 6.692256 1.031387 0.3421273 0.640102213 -6.302436345
A3GALT2 127550 -0.1625773 1.1796401 -0.2369218 0.8205988 0.921293306 -6.834862682
A4GALT 53947 -0.8331623 8.0972388 -2.553438 0.04328741 0.197857828 -4.332785289
A4GNT 51146 -0.3523257 0.9462271 -0.6111226 0.5635373 0.800442811 -6.658075878
AAAS 8086 -0.03254049 8.535655 -0.1688357 0.8714735 0.94324308 -6.85069383
AACS 65985 0.2554037 9.9240627 1.21406 0.2703355 0.562813414 -6.107415079
AADAC 13 -0.01443972 0.422814 -0.06149 0.952966 0.980064488 -6.864924319
AADACL1 57552 0.4680228 8.8761103 2.450884 0.04972871 0.213560208 -4.476133865
AADACL2 344752 0.06706812 0.4356517 0.3158736 0.7627969 0.894956705 -6.810000788
AADAT 51166 -0.7858853 8.360324 -3.017046 0.0234846 0.138666 -3.692197126
AAK1 22848 0.3708212 3.6402124 0.59715525 0.5783085 0.804311218 -6.652892927
AAMP 14 0.5470243 11.3406814 2.015944 0.09040417 0.301113119 -5.081981018
AANAT 15 0.0381842 5.652555 0.2030012 0.8458429 0.932221105 -6.843404805
AARS 16 0.1345793 9.31612 0.6897291 0.5161383 0.774920427 -6.603001844
AARS2 57505 -0.1163479 9.5073674 -0.4660695 0.6576045 0.849779383 -6.743981171
AARSD1 80755 -0.73368239 6.9813019 -1.96186665 0.387321844 0.480533425 -4.47599997
AASDH 132949 -0.0587281666666667 5.03723766666667 -0.299328866666667 0.5749768 0.750545514 -6.45100751233333
AASDHPPT 60496 -0.189506033333333 9.23106696666667 -1.01636173333333 0.3971431 0.649141989 -6.24438333366667
AASS 10157 -0.1781334 6.8697493 -0.4372034 0.6772601 0.85892945 -6.75852871
AATF 26574 0.5591087 9.90316245 2.3546695 0.056841755 0.231011685 -4.610725259
AATK 9625 -0.631045633333333 5.82682036666667 -1.14194143333333 0.19044337 0.421377297 -5.372736673
ABAT 18 -0.6156758 9.3823996 -1.11438125 0.3952734 0.6112866915 -6.081178673
ABCA1 19 0.184539054333333 3.62164953333333 0.563166083333333 0.695201633333333 0.794483966 -6.44420295166667
ABCA10 10349 -0.4846618 3.7315883 -1.602695 0.1601194 0.421889532 -5.635777772
ABCA11P 79963 -0.8084773 6.0014268 -3.342468 0.01556265 0.110446671 -3.255319557
ABCA12 26154 0.7245364 1.7172437 0.8303648 0.4381158 0.723257358 -6.490649251
ABCA13 154664 1.304256 1.1128056 1.556952 0.1704854 0.437113333 -5.694425855
ABCA17P 650655 -1.113841 5.346128 -1.556262 0.1706464 0.437202463 -5.695304642
ABCA2 20 0.03002107 6.6142813 0.09437203 0.9278861 0.968266246 -6.861969665
ABCA3 21 0.06225019 10.0176494 0.1564235 0.8808294 0.94692373 -6.853013442
ABCA4 24 -0.4031891 3.4153325 -1.4614 0.1942118 0.469852823 -5.814571115
ABCA5 23461 -0.17259151 8.83956495 -0.7041413 0.5459518 0.752898875 -6.5110348405
ABCA6 23460 -0.3591569 5.05512225 -0.59003895 0.5962752 0.8016746815 -6.624363512
ABCA7 10347 -0.4304548 6.9803534 -1.013952 0.3497324 0.64730907 -6.319929378
ABCA8 10351 -2.251756 5.3666418 -3.110676 0.02082931 0.129702606 -3.565194382
ABCA9 10350 -1.247413 2.9153163 -2.79942 0.03118584 0.164402201 -3.990848906
ABCB1 5243 -1.18712227 4.90009369 -4.5817294 0.0249980811 0.0900624376 -1.8018879039
ABCB10 23456 -0.471906025 5.60150775 -1.960117 0.12492802 0.34524375125 -5.13949843825
ABCB11 8647 2.033542 2.1548734 2.456617 0.04934314 0.212492242 -4.468113576
ABCB4 5244 0.08852935 0.9576169 0.1157444 0.9116316 0.961213108 -6.859382829
ABCB5 340273 0.3905667 1.7501089 0.594943 0.5736171 0.804880606 -6.668687297
ABCB6 10058 0.3595452 9.96376825 1.2499105 0.2590435 0.549654696 -6.0652577395
ABCB7 22 0.1759632 8.9618338 0.814609 0.4464139 0.729412722 -6.504075422
ABCB8 11194 0.8051996 5.5707175 3.55246 0.01203505 0.095706314 -2.980781652
ABCB9 23457 -0.18124068 4.14426565 -0.26674665 0.71291485 0.868193963 -6.737564356
ABCC1 4363 0.2255478 6.6766883 0.4857557 0.6443684 0.843597062 -6.733564764
ABCC10 89845 -0.6260796 7.3005666 -2.897885 0.02740818 0.151960374 -3.855175317
ABCC11 85320 5.018727 6.7271888 2.631939 0.03895624 0.186594487 -4.223294048
ABCC12 94160 2.903559 3.0180849 2.148181 0.07529246 0.272640798 -4.898920854
ABCC13 150000 0.1688934 1.14783596666667 0.742280733333333 0.535384466666667 0.713650233666667 -6.32664407333333
ABCC2 1244 -0.26621845 3.03448225 -1.05758085 0.38780835 0.627852803 -6.186423809
ABCC3 8714 -2.932159 6.1111892 -8.960946 0.0001078481 0.010440394 1.998776025
ABCC4 10257 1.845906 7.56527246666667 4.47328566666667 0.00428322333333333 0.0552057333333333 -1.85710846966667
ABCC5 10057 0.44099435 7.3346931 1.967627 0.1800804 0.3919320455 -5.0788772535
ABCC6 368 -2.43568066666667 5.44782383333333 -4.23644066666667 0.00591264933333333 0.0643933056666667 -2.14209844833333
ABCC8 6833 -0.2533331 7.549952 -0.3847933 0.7136597 0.87505013 -6.782701233
ABCC9 10060 -2.68786166666667 3.353281 -7.655262 0.000399925473333333 0.0165732216666667 1.00895402666667
ABCD1 215 -0.5672714 5.8551876 -1.884682 0.1084459 0.335996345 -5.261579898
ABCD2 225 -0.3367245 0.9436044 -0.4139084 0.6933288 0.865553156 -6.769632185
ABCD3 5825 -0.1262989503 4.43167555 -0.6259740115 0.62803855 0.773418725 -6.4652384865
ABCD4 5826 -0.3628601 8.2288702 -1.895045 0.106899 0.333014285 -5.247499268
ABCE1 6059 -0.01602838 6.8468466 -0.0765442 0.75680215 0.8933115405 -6.8033775375
ABCF1 23 0.1836633 10.3876112 0.8774856 0.4139723 0.705950104 -6.449293742
ABCF2 10061 0.5205634 7.51650385 1.789955 0.1695884 0.400956491 -5.344763631
ABCF3 55324 0.3469662 10.1261897 1.416951 0.2062642 0.485687144 -5.869258826
ABCG1 9619 1.420086 8.8163743 2.99152 0.02427079 0.141028709 -3.726988217
ABCG2 9429 -0.4494181 8.2558018 -0.8936731 0.4059115 0.699732121 -6.434680186
ABCG4 64137 -0.109378 3.453776 -0.4820253 0.6468657 0.84448422 -6.735569188
ABCG5 64240 -0.1569504 2.3829746 -0.3257379 0.7556825 0.891697084 -6.806410386
ABCG8 64241 0.6846141 1.0169569 2.842168 0.02948108 0.15879178 -3.931845491
ABHD1 84696 0.280094675 5.73416865 0.39217808 0.68643455 0.8460536285 -6.6673118175
ABHD10 55347 0.49986585 5.85507696666667 1.94919043333333 0.25239759 0.404855747666667 -4.99659625466667
ABHD11 83451 1.59261066666667 10.2465144666667 4.62829333333333 0.004570846 0.0540394666666667 -1.705989242
ABHD12 26090 1.536639 9.5636095 5.363833 0.0017238395 0.0346111025 -0.891620269
ABHD12B 145447 1.177792 1.6166467 1.472592 0.1912815 0.466249537 -5.800675906
ABHD13 84945 0.0620491166666666 4.9194406 0.128115466666667 0.5730919 0.780368342333333 -6.56211680566667
ABHD14A 25864 -0.03000361 9.4529716 -0.09843492 0.9247929 0.966898368 -6.861518277
ABHD14B 84836 -0.02996583 7.4981172 -0.1265102 0.64871455 0.841475068 -6.7265271885
ABHD2 11057 0.439863138 7.46311376 0.86020778 0.38957406 0.6078890822 -6.0861871884
ABHD3 171586 -0.1920417 7.2843917 -0.6080524 0.5654417 0.801272616 -6.660108824
ABHD4 63874 0.1629354 9.0744774 0.5712591 0.5885653 0.813531142 -6.683763438
ABHD5 51099 1.088545 8.2672251 3.817397 0.008786384 0.080368087 -2.64356933
ABHD6 57406 -0.5988741 8.5727333 -3.449195 0.01364517 0.102663735 -3.115014232
ABHD7 253152 0.2305847 2.8464078 0.2211548 0.8323056 0.926602299 -6.838994423
ABHD8 79575 -1.089872 6.5210251 -3.310498 0.0161933 0.112925287 -3.297648816
ABHD9 79852 -0.9525207 9.3201212 -3.265058 0.01713848 0.115911685 -3.358046344
ABI1 10006 -0.1858761 8.17930485 -0.7161811 0.5098495 0.7614142855 -6.5647315545
ABI2 10152 0.01523765 8.6225044 0.7194175 0.013574256 0.0958662025 -2.760552743
ABI3 51225 -0.2227232 6.8550416 -0.6592456 0.5342056 0.784935546 -6.625043072
ABI3BP 25890 -1.0015989 2.9244224 -2.4029581 0.3165287305 0.4359856095 -3.8338325585
ABL1 25 -0.329934542928571 4.59970775 -1.45786614785714 0.219242797142857 0.439915561571429 -5.49421795571429
ABL2 27 0.0990272333333333 5.1944245 0.342646733333333 0.757845466666667 0.886259766666667 -6.75201351433333
ABLIM1 3983 -1.005062 10.7606461 -2.535645 0.04433839 0.200592245 -4.357635677
ABLIM2 84448 -0.2649541 6.3479238 -0.7148886 0.501532 0.765952908 -6.584172522
ABLIM3 22885 0.6135498 6.69706745 1.2813057 0.391820285 0.570506091 -5.8220168525
ABO 28 -1.615914 1.282097 -1.646031 0.1508552 0.407588347 -5.579606702
ABP1 26 -5.894146 5.3047623 -4.95817 0.002556508 0.042031128 -1.315762111
ABR 29 -0.5988273 11.8380352 -2.131669 0.07702888 0.276065289 -4.92186578
ABRA 137735 1.167934 1.5560204 1.254211 0.2564107 0.546798087 -6.061923187
ABT1 29777 -0.3060685 6.6812476 -1.164069 0.2885838 0.583849246 -6.162800803
ABTB1 80325 -0.62337155 7.90840755 -1.9655325 0.09735083 0.314825112 -5.150948426
ABTB2 25841 -1.009577 7.5878322 -2.83167 0.02989022 0.160122361 -3.946321009
ACAA1 30 0.07870437 11.6151736 0.308603375 0.7363385 0.878441441 -6.737138353
ACAA2 10449 -2.294785 7.3777541 -6.905259 0.0004558214 0.018170832 0.51887765
ACACA 31 0.81510775 6.7818628 3.355115 0.35152805675 0.446414947 -3.383338773
ACACB 32 -1.672584 4.7305146 -6.342983 0.0007189462 0.022759045 0.038863618
ACAD10 80724 0.188187333333333 5.72286766666667 1.11388703333333 0.306747776666667 0.523271112666667 -5.682121303
ACAD11 84129 0.110154 6.2883918 0.2672681 0.7982116 0.911480183 -6.826126323
ACAD8 27034 0.110229685 8.81686175 0.3129417 0.7663319 0.8974430695 -6.805044712
ACAD9 28976 0.3652765 10.18985755 1.7127495 0.15022541 0.395548387 -5.4792553245
ACADL 33 1.213489 7.8298516 3.46253 0.01342447 0.101809358 -3.097595307
ACADM 34 -0.2966037 8.5254544 -1.009235 0.3518133 0.649265133 -6.324626408
ACADS 35 -0.3389835 6.8126364 -1.240726 0.2610161 0.55227456 -6.077299728
ACADSB 36 0.746946366666667 7.96207143333333 2.05048236666667 0.25845729 0.404221899 -4.859073742
ACADVL 37 -0.280253 13.6364276 -1.237857 0.2620051 0.553375642 -6.080558298
ACAN 176 0.04928666 5.3037528 0.02866727 0.9780596 0.990507086 -6.866631496
ACAP1 9744 -0.216187 5.5297222 -0.60848745 0.565555 0.801292958 -6.6589354645
ACAP2 23527 -0.61902675 7.74765595 -2.8033115 0.03818558 0.1763463945 -3.9944270555
ACAP3 116983 -0.00679309249999999 4.888105025 -0.252521175 0.44867225 0.7049574125 -6.4310074755
ACAT1 38 0.100954525 10.05271435 0.4026032 0.7024209 0.8686429725 -6.770703512
ACAT2 39 -0.7960767 10.92744975 -1.238026 0.270715 0.5581075695 -6.0684138605
ACBD3 64746 0.19954025 8.8201291 1.0165141 0.37430365 0.643419283 -6.276710018
ACBD4 79777 -0.67112435 7.40063325 -2.0243966 0.3681453 0.4834728115 -4.802690258
ACBD5 91452 -0.5897895 5.6265881 -1.9164875 0.110201415 0.3352304475 -5.2130442685
ACBD6 84320 0.2371618 10.6255634 0.9808073 0.3645633 0.661513152 -6.352601461
ACBD7 414149 0.1263148 6.6501375 0.5069367 0.6302851 0.836225112 -6.721913782
ACCN1 40 0.5619145 4.0739191 0.5910294 0.5760714 0.806467825 -6.671216106
ACCN2 41 -0.431433 8.4581829 -1.279023 0.2481234 0.538122618 -6.033382582
ACCN3 9311 0.5259881 4.3738756 1.511127 0.1815035 0.452552393 -5.752464634
ACCN4 55515 1.086947 3.5080578 1.262725 0.2535399 0.544086367 -6.052165912
ACCN5 51802 0.1903291 1.2185619 0.3147649 0.7635982 0.895277289 -6.810397672
ACCS 84680 -0.7510777 8.5545286 -1.738313 0.132817 0.379543519 -5.45822299
ACD 65057 -0.8427878 7.898827 -4.303776 0.005071125 0.060641707 -2.052626182
ACE 1636 -0.3454379 4.1040748 -1.458966 0.1948546 0.470700103 -5.817586796
ACE2 59272 0.6758165 3.0870547 0.832954 0.4367629 0.722191337 -6.488423361
ACER1 125981 -0.680661 3.876313 -1.908728 0.10489 0.329492184 -5.228878321
ACER3 55331 0.8482991 5.58338686666667 1.50077343333333 0.39087677 0.568317047 -5.52848565233333
ACHE 43 0.3535862 5.37509 1.01093 0.3510643 0.648603789 -6.322940234
ACIN1 22985 -0.7010687 8.2427595 -3.388752 0.01469692 0.106810121 -3.194281523
ACLY 47 0.5489458 10.0930354 1.494499 0.1856642 0.45833134 -5.773336986
ACMSD 130013 -0.9497643 1.555535 -1.27168 0.2505511 0.540886237 -6.041862795
ACN9 57001 0.4676349 10.0827563 2.000188 0.09239947 0.305095151 -5.103668019
ACO1 48 -0.2814846 9.5915482 -1.08806535 0.33415865 0.6178473225 -6.2204399375
ACO2 50 0.40579315 12.0872501 2.099758 0.089472785 0.293942329 -4.960843947
ACOT1 641371 -0.3591689 11.2794743 -1.066169 0.3273554 0.625701802 -6.266923473
ACOT11 26027 -2.17965666666667 4.23805723333333 -4.983619 0.00474133443333333 0.053170185 -1.41406708666667
ACOT12 134526 -0.7296833 1.2986518 -1.03584 0.3402064 0.638099535 -6.297935003
ACOT2 10965 -0.3046882 9.7152014 -0.9221249 0.4064006 0.6801835605 -6.3843042675
ACOT4 122970 -1.091468 6.8579907 -1.70267 0.1395215 0.390387889 -5.505374156
ACOT7 11332 0.4346302 8.3691839 1.526449 0.1777471 0.447024089 -5.733141669
ACOT8 10005 0.7060063 8.7542867 3.039537 0.02281477 0.13642263 -3.661600662
ACOT9 23597 0.08640565 8.93761585 0.28142495 0.5131827 0.754037107 -6.5416757315
ACOX1 51 -0.366531966666667 6.96502163333333 -0.9387511 0.408831533333333 0.675252287 -6.35326043933333
ACOX2 8309 -4.085337 7.5245259 -10.77731 3.77241e-05 0.008695089 3.025450481
ACOX3 8310 -0.51892645 8.24636405 -1.2313833 0.33796615 0.5728461635 -5.983054463
ACOXL 55289 -1.346383 4.3118549 -1.90833 0.1049478 0.329546983 -5.229419648
ACP1 52 0.494633895 6.23604645 0.73747967 0.58193785 0.733330814 -6.3648468815
