logFC AveExpr t P.Value adj.P.Val B Entrez_Gene_ID
ABCC4 1.09670375 8.813374 8.979486 9.83802305e-14 6.20603215e-12 22.46905895115 10257
ABP1 -1.105549 7.106803 -7.176817 1.325073e-10 4.631284e-09 13.7382682877 26
ACOX2 -1.203271 8.39196 -13.08915 2.523861e-23 1.918607e-20 42.5290960221 8309
ALDH2 -1.056173 8.83025 -10.31894 2.197368e-17 3.309794e-15 29.0799333855 217
AMACR 2.634913 8.420658 11.91836 5.14625040666667e-20 1.40641445e-17 36.9067803347667 23600
ANPEP -1.422691 9.43347 -5.379744 4.99696e-07 8.257884e-06 5.7096468035 290
AOX1 -1.299072 7.611626 -15.39941 4.941131e-28 1.265242e-24 53.1569373919 316
AVPI1 -1.1068 9.642003 -12.41015 6.821046e-22 3.190938e-19 39.2900632345 60370
C17orf92 1.051834 11.860053 8.148018 1.152931e-12 6.083772e-11 18.3920783095 84366
C1orf106 -1.018851 7.213128 -13.03235 3.319464e-23 2.448808e-20 42.259986511 55765
C2orf40 -1.468167 8.6176 -11.97329 5.818017e-21 2.282727e-18 37.1828281451 84417
CAV1 -1.0947788 8.4381855 -13.215885 5.35270000000024e-17 6.8828400000296e-15 42.5968832288 857
CCK -1.234483 7.089626 -9.863852 2.160049e-16 2.601255e-14 26.8310516092 885
CFB -1.020058 10.320667 -4.263866 4.594114e-05 0.0004773875 1.3612681298 629
CFD -1.688118 9.238813 -10.94442 9.590532e-19 2.053179e-16 32.1614210679 1675
CLDN8 1.1432948 8.429081 8.415172 2.0978677921e-11 8.2383113985e-10 19.7397156938 9073
CLIC6 -1.059951 8.669803 -11.67897 2.487425e-20 8.122025e-18 35.7540924381 54102
CLIP3 -1.08928 9.797348 -10.02205 9.75603e-17 1.269119e-14 27.6131428146 25999
CNN1 -1.448895 11.29668 -10.88092 1.317026e-18 2.715083e-16 31.8493380811 1264
COL17A1 -1.069884 6.87553 -14.928265 6.467706005246e-24 5.61906630241e-21 50.8602008734 1308
COL6A1 -1.086277 9.914366 -12.34358 9.446009e-22 4.255252e-19 38.9700551625 1291
COL9A2 1.529722 9.866689 7.008632 2.966514e-10 9.589824e-09 12.9491591038 1298
COMP 1.041382 8.27014 4.585408 1.326223e-05 0.0001577203 2.5490847313 1311
COX7A1 -1.144272 8.76924 -14.4946 3.203202e-26 5.771933e-23 49.0722150826 1346
CRISPLD2 -1.119786 11.518472 -10.62038 4.848588e-18 8.577946e-16 30.5669290801 83716
CRYAB -1.526935 9.615046 -15.9727 3.703333e-29 1.637951e-25 55.6901623222 1410
CSRP1 -1.151096 12.457453 -14.18454 1.368503e-25 1.958247e-22 47.6487955292 1465
CYP27A1 -1.14644 9.167794 -8.557131 1.511053e-13 9.660417e-12 20.3885808277 1593
CYP3A5 -1.333505 7.184903 -12.40725 6.918437e-22 3.205674e-19 39.2761293071 1577
D4S234E -1.049982 7.699212 -8.085017 1.574341e-12 8.131086e-11 18.0861399027 27065
DEFB1 -1.361258 8.04635 -8.96052 2.013289e-14 1.55477e-12 22.3701399123 1672
DES -1.289392 9.891974 -9.97413 1.241154e-16 1.572516e-14 27.3762567846 1674
DKFZP564O0823 -1.186963 10.333658 -11.88513 8.983825e-21 3.190373e-18 36.7556158844 25849
DLX1 1.241438 6.889612 12.697205 2.82858700000001e-15 2.42282450000043e-13 40.10847104695 1745
DPT -1.033258 7.264799 -10.18199 4.369539e-17 6.108816e-15 28.4035221811 1805
DPYSL3 -1.007942 11.124878 -12.97955 4.283826e-23 3.020532e-20 42.0094899898 1809
F5 1.325728 7.508533 6.683541 1.385081e-09 3.947684e-08 11.4418932568 2153
FAM107A -1.318122 9.584972 -12.3003 1.167522e-21 5.163845e-19 38.7617925068 11170
FAM46B -1.024226 7.635968 -12.1204 2.821639e-21 1.1536e-18 37.8943142788 115572
FASN 1.04505 11.90736 9.442109 1.79784e-15 1.756395e-13 24.7462068577 2194
FERMT2 -1.037788 10.179723 -11.70417 2.195947e-20 7.262695e-18 35.8766692177 10979
FHL1 -1.283523 8.951143 -13.29867 9.210804e-24 8.455171e-21 43.518879844 2273
FHOD3 -1.037869 8.971181 -10.30445 2.363092e-17 3.515876e-15 29.0083847141 80206
FLJ22184 1.214236 8.083388 14.15942 8.5823201060713e-22 3.695106516058e-19 47.3087275933 80164
FLNC -1.311303 8.654993 -11.14533 3.520605e-19 8.355339e-17 33.1473935334 2318
GDF15 1.705936 11.227473 7.212635 1.115303e-10 3.954937e-09 13.9070798393 9518
GPX2 -1.342809 7.210956 -10.76766 2.320055e-18 4.445641e-16 31.292215258 2877
GPX3 -1.161787 9.049364 -11.65294 2.829484e-20 9.177338e-18 35.6273706568 2878
GSTM2 -1.1588553 9.384243 -11.517915 4.8685953188565e-17 6.34560820761e-15 34.89255698825 2946
GSTM3 -1.248228 8.341205 -11.31749 1.494423e-19 3.951449e-17 33.9903845422 2947
GSTP1 -1.320509 10.613136 -10.82873 1.709513e-18 3.380945e-16 31.5926962274 2950
GUCY1A3 1.0336256 9.3816775 9.2353035 1.2807062e-14 9.876197e-13 23.7265147242 2982
HIST3H2A 1.438132 7.793975 9.59779 8.22423e-16 8.698375e-14 25.5156220856 92815
HSPB6 -1.208538 8.626759 -12.18352 2.069681e-21 8.756012e-19 38.1990018522 126393
ITGA5 -1.018658 8.563021 -10.87343 1.367265e-18 2.783272e-16 31.8125035248 3678
KCNMB1 -1.356353 10.41909 -13.13962 1.978946e-23 1.552898e-20 42.7679516843 3779
KIAA1210 -1.296037 8.602604 -8.990309 1.734257e-14 1.354335e-12 22.5168480644 57481
KRT13 -1.99929 7.844075 -7.497685 2.80698e-11 1.142805e-09 15.2591703891 3860
KRT15 -1.853949 8.511071 -12.62394 2.404123e-22 1.376064e-19 40.3148921902 3866
KRT17 -1.196666 9.568402 -7.649605 1.338371e-11 5.83986e-10 15.9855531666 3872
KRT5 -1.372 7.465628 -13.9365 4.408004e-25 5.361456e-22 46.5017018406 3852
KRT7 -1.035285 7.531604 -7.767127 7.529133e-12 3.404343e-10 16.5499395361 3855
LCN2 -1.265323 9.362644 -4.384614 2.899256e-05 0.0003189157 1.800553133 3934
LEPREL1 -1.280058 9.892989 -6.583776 2.211724e-09 6.01144e-08 10.9845648693 55214
LMOD1 -1.10255 8.380438 -11.13155 3.770775e-19 8.905618e-17 33.0798563009 25802
LOC145837 2.030949 9.228807 14.31613 7.378815e-26 1.158046e-22 48.2543550511 145837
LOC387882 -1.261784 8.784629 -11.01221 6.83726e-19 1.532933e-16 32.494359136 387882
LOC644844 1.556609 7.671751 9.748567 3.855289e-16 4.34184e-14 26.2610456886 644844
LOC648868 1.393482 8.003009 7.015966 2.864418e-10 9.290644e-09 12.9834402602 648868
LOC91661 1.42628 8.366143 8.143422 1.179452e-12 6.203537e-11 18.3697419685 91661
MARCKSL1 1.45731 10.907029 19.46932 1.246549e-35 6.064712e-31 70.1938122317 65108
MS4A8B 1.147765 7.36651 7.118058 1.757098e-10 5.957235e-09 13.4619010533 83661
MSMB -1.01107046666667 10.5974676666667 -5.52454633333333 4.39843866666667e-07 7.07511866666667e-06 6.32694961336667 4477
MYH11 -1.120694 11.4908115 -12.421835 1.4266502665e-20 4.60061424e-18 39.3183602184 4629
MYO6 1.03925 7.272935 9.867292 2.123035e-16 2.575807e-14 26.8480587523 4646
NBL1 -1.01154105 11.547013 -9.3764405 2.895981745e-14 2.03917234e-12 24.42654671255 4681
NEFH -1.84452 10.823594 -8.391328 3.449077e-13 2.053911e-11 19.5775598911 4744
NELL2 -1.185822 7.697377 -5.703666 1.218289e-07 2.271835e-06 7.0785353731 4753
NPAL3 -1.09325 9.749356 -8.184315 9.633294e-13 5.201765e-11 18.5685384848 57185
OLFM4 -1.38061125 7.840317 -7.387018 1.8041173e-10 5.7744817e-09 14.7480837376 10562
OR51E2 2.044937 11.674599 8.221953 7.994707e-13 4.385101e-11 18.7516698576 81285
PALLD -1.058779 10.84924 -10.07507 7.475041e-17 1.001861e-14 27.8751964948 23022
PCP4 -1.177871 11.421204 -10.64334 4.322037e-18 7.702409e-16 30.6800492443 5121
PDK4 -1.046109 8.281052 -5.808328 7.659448e-08 1.495375e-06 7.5294904889 5166
PENK -1.431526 7.152923 -7.976133 2.694535e-12 1.332261e-10 17.5584928295 5179
PGM5 -1.034240326 9.2326282 -10.5095882 0.00145965060000048 0.00805431800004515 30.81928459548 5239
PI16 -1.012158 7.722059 -5.557927 2.310016e-07 4.069041e-06 6.4574917473 221476
PLA1A 1.301656 8.310315 8.297595 5.494032e-13 3.104479e-11 19.1201592148 51365
PLA2G7 1.652073 9.248361 9.967765 1.281484e-16 1.619396e-14 27.3447920184 7941
PLAC9 -1.193651 7.597765 -7.314355 6.82785e-11 2.533856e-09 14.3878482443 219348
PNCK -1.211365 10.033367 -11.73161 1.917318e-20 6.477871e-18 36.0101125642 139728
PODXL2 1.320705 8.704055 10.61482 4.985666e-18 8.788501e-16 30.5394959545 50512
PPP1R14A -1.198627 9.055771 -12.74446 1.338064e-22 8.346087e-20 40.8906326291 94274
PPP1R14B 1.110655 9.552964 14.40727 4.816266e-26 7.810699e-23 48.6725129707 26472
PPP1R3C -1.051593 8.086122 -10.34182 1.959001e-17 2.987753e-15 29.1929240855 5507
PRDM8 -1.607819 8.853565 -10.71531 3.014652e-18 5.66289e-16 31.0345208106 56978
PROM1 -1.41893 8.377395 -6.605754 1.995465e-09 5.494249e-08 11.0850909978 8842
PTGDS -1.461442 10.240374 -9.948224 1.413677e-16 1.763544e-14 27.2481899173 5730
RAB17 1.672658 9.478728 17.88399 8.859625e-33 2.155192e-28 63.8199610276 64284
RAP1GAP 1.170596 10.682412 9.364068 2.660434e-15 2.472195e-13 24.3606807986 5909
RARRES2 -1.06826 9.387032 -8.497965 2.029024e-13 1.267216e-11 20.0989073847 5919
RASL12 -1.300814 9.114731 -12.67943 1.835339e-22 1.075818e-19 40.580149459 51285
RBP1 -1.013246 8.577118 -8.120546 1.320753e-12 6.887167e-11 18.2586174329 5947
RBPMS2 -1.08665 9.512881 -11.94596 6.656302e-21 2.570178e-18 37.0504743937 348093
ROR2 -1.018584 7.484303 -15.46447 3.674898e-28 1.051712e-24 53.4465608248 4920
RPESP -1.092743 7.698198 -8.020376 2.166316e-12 1.092183e-10 17.7727194982 157869
RRAS -1.026448 9.988684 -13.74227 1.107009e-24 1.313615e-21 45.5983603385 6237
S100A4 -1.0871415 9.9469435 -7.4802815 1.52577787e-10 4.9440974e-09 15.19560006305 6275
S100A6 -1.074559 9.522254 -11.16065 3.261875e-19 7.827196e-17 33.2224885848 6277
SCGB1A1 -1.879899 7.667785 -10.04185 8.832229e-17 1.161367e-14 27.7110285335 7356
SCGB3A1 -1.680877 7.113816 -10.52302 7.896543e-18 1.315694e-15 30.0869952359 92304
SERPINB5 -1.121234 7.04277 -13.11498 2.228322e-23 1.72083e-20 42.6514015703 5268
SLC2A5 -1.902213 8.492072 -12.68004 1.829928e-22 1.075818e-19 40.5830504115 6518
SLC47A1 -1.077453 7.295186 -12.96723 4.546776e-23 3.160139e-20 41.9509778914 55244
SPON1 -1.229085 8.563973 -11.8873 8.888336e-21 3.190373e-18 36.7661237715 10418
SRPX -1.092239 8.147942 -10.23004 3.432906e-17 4.88356e-15 28.6409163361 8406
STOX2 -1.042723 7.716955 -14.83546 6.57669e-27 1.333205e-23 50.6232108473 56977
STX19 1.405282 8.896135 10.79373 2.036501e-18 3.963194e-16 31.4204814414 415117
TARP 1.271837 8.538784 6.327931 7.260083e-09 1.784828e-07 9.8241690713 445347
TCEAL2 -1.501254 9.21838 -14.15913 1.542184e-25 2.143724e-22 47.5316441021 140597
TGFB3 -1.487319 9.508313 -10.6742 3.703348e-18 6.824821e-16 30.8320647424 7043
TGFBR3 -1.043326 8.976962 -13.30779 8.816239e-24 8.248609e-21 43.5618641895 7049
TGM3 1.010394 7.301998 6.759183 9.697902e-10 2.847449e-08 11.7903382692 7053
TGM4 -1.941949 8.231466 -4.891406 3.877381e-06 5.221211e-05 3.7307415967 7047
THBS4 1.94151 9.111796 10.94985 9.333958e-19 2.009362e-16 32.1881017667 7060
TMEFF2 1.062715 11.058102 4.407353 2.656241e-05 0.0002955212 1.884205861 23671
TMEM158 -1.267119 10.415043 -10.2421 3.231271e-17 4.651119e-15 28.7004803681 25907
TMEM178 1.15455 8.603717 5.9323215 6.0962805e-08 1.1876625e-06 8.0752219883 130733
TMSL8 1.325206 10.235386 8.782056 4.916876e-14 3.507564e-12 21.4921986468 11013
TP73L -1.407615 7.649153 -14.61289 1.846252e-26 3.592953e-23 49.6121066237 8626
TRIP6 -1.029565 9.267879 -15.51107 2.973539e-28 9.644573e-25 53.6536998092 7205
TRPM4 1.303417 9.951195 9.101525 9.932612e-15 8.176674e-13 23.0649540079 54795
TSPAN1 1.045625 9.927664 8.791732 4.684716e-14 3.361663e-12 21.5397515563 10103
UPK1A -1.319652 7.445845 -9.510112 1.277623e-15 1.292285e-13 25.0822484136 11045
VSIG2 -1.16378 9.231143 -6.302361 8.167993e-09 1.976078e-07 9.7092265456 23584
VSTM2L 1.421073 8.062414 10.32829 2.096662e-17 3.187712e-15 29.1260975941 128434
WFDC1 -1.416761 8.807123 -13.61972 1.983439e-24 2.144406e-21 45.0261236462 58189
