logFC AveExpr t P.Value adj.P.Val B Entrez_Gene_ID
7A5 -0.0273843 5.938273 -1.428952 0.1561647 0.4094704 -5.980667518 346389
A1BG -0.03920321 6.1266875 -1.6374595 0.119122235 0.3261555 -5.62837569285 1
A1CF 0.0570780833333333 6.04720533333333 1.96401733333333 0.114312343666667 0.26103203 -4.88017130533333 29974
A26A1 0.0067898695 6.0508725 0.3158828 0.7541455 0.90229605 -6.9371959366 340441
A26B1 0.01331087 6.034388 0.6349531 0.5269232 0.7794664 -6.7913951426 339010
A26C1B -0.04210182 6.124824 -1.943314 0.05481707 0.200072 -5.1368452553 728378
A26C3 -0.005871784 6.179709 -0.353857133333333 0.619106033333333 0.813633633333333 -6.8033058999 23784
A2BP1 -0.036335595 5.9726155 -1.389904875 0.173306601 0.270215547 -3.607734172875 54715
A2M -0.3007643 8.012297 -2.314812 0.02268766 0.1017327 -4.3797230884 2
A2ML1 -0.08479111 6.146431 -1.67907 0.09629078 0.2989623 -5.6007031909 144568
A3GALT2 -0.001218622 5.960305 -0.0289824 0.8268758 0.9354296 -6.96839621095 127550
A4GALT -0.3396997 6.984486 -6.698681 1.289847e-09 3.700096e-08 11.5115216226 53947
A4GNT 0.04265976 6.04537 1.427789 0.1564983 0.4098152 -5.9822972195 51146
AAA1 0.0074862642 6.0001236 0.37203486 0.381768566 0.48420616 -5.63571165004 404744
AAAS 0.01135276 6.510287 0.3084754 0.7583686 0.9068033 -6.9452782296 8086
AACS 0.4595428 7.618584 8.400109 3.301755e-13 1.980727e-11 19.6204516814 65985
AACSL 0.02926918 6.006588 1.173001 0.2436091 0.5301441 -6.3085318481 401224
AADAC -0.01254798 6.013814 -0.4965755 0.6205889 0.8377731 -6.8695625329 13
AADACL1 0.12174848 6.920612 1.9968 0.1615321325 0.31784399 -4.5963227352 57552
AADACL2 0.01250678 6.011392 0.5385865 0.5913807 0.8208735 -6.8478397521 344752
AADACL3 0.009805595 6.061473 0.3950887 0.6936271 0.875596 -6.9147949545 126767
AADACL4 0.05481378 5.947528 1.811172 0.07314565 0.2467537 -5.376723172 343066
AADAT 0.12798420175 6.67606025 1.81581044 0.42957930958 0.480727437125 -4.015874383975 51166
AAK1 0.0668157066666667 6.486189 0.790821466666667 0.363335216666667 0.55027543 -5.89579382403333 22848
AAMP 0.1257794 7.474673 2.935271 0.004142789 0.02502234 -2.8564352124 14
AANAT 0.05033197 5.880427 1.800369 0.07484661 0.2507513 -5.3956370792 15
AARS -0.009877221 11.122865 -0.1911834 0.8487733 0.9437803 -6.9746127441 16
AARS2 0.03203005 7.105088 0.6575718 0.5123388 0.7697343 -6.776813972 57505
AARSD1 0.1615665 8.83442 3.63692 0.0004401479 0.003567229 -0.7777162139 80755
AASDH -0.0003216736 7.357712 -0.008671592 0.9930986 0.9973576 -6.9928791668 132949
AASDHPPT -0.0221712585 6.9194635 -0.52012922 0.64087085 0.803346 -6.7523607421 60496
AASS -0.07366769 6.421045 -2.163347 0.27429990435 0.398732546 -3.65309343995 10157
AATF 0.1360979 8.70021 3.040436 0.003022657 0.01916569 -2.5679177127 26574
AATK 0.0113642766666667 6.00904366666667 0.249104733333333 0.39690597 0.608619533333333 -6.28926729596667 9625
ABAT -0.0195270603333333 6.11951766666667 -0.344268933333333 0.6216277 0.812754466666667 -6.79649603796667 18
ABCA1 0.1229285 9.007989 1.459486 0.1475961 0.3953806 -5.9374113042 19
ABCA10 -0.035551435 6.1035475 -1.3876151 0.213249065 0.4416785 -5.93446409595 10349
ABCA11 -0.009003632 6.385367 -0.2594321 0.7958404 0.9223256 -6.9592170611 NA
ABCA12 0.022069569 5.9363605 0.595648105 0.60414835 0.7678661 -6.68008943245 26154
ABCA13 -0.003468633 5.894455 -0.1490153 0.8818446 0.9590741 -6.9817959059 154664
ABCA2 0.07928401 6.361725 0.488538 0.00068005642 0.00487268195 -0.18472529765 20
ABCA3 0.2489688 6.765722 4.287182 4.205915e-05 0.0004426264 1.445439059 21
ABCA4 0.01683511 6.733275 0.266619 0.7903168 0.9203733 -6.9573247359 24
ABCA5 -0.006987635 6.19871633333333 -0.177831633333333 0.4246548 0.626704333333333 -6.39978647783333 23461
ABCA6 -0.1473104 6.4295365 -3.4805485 0.00269398787 0.01579610565 -1.1336031677 23460
ABCA7 -0.107552942333333 6.343507 -2.07889133333333 0.426299457612833 0.54413195506 -2.83834816816667 10347
ABCA8 -0.2989427 8.093934 -3.478075 0.0007518748 0.005692768 -1.27909954 10351
ABCA9 0.030168145 6.1242595 0.92089455 0.3782311 0.64653185 -6.53095488525 10350
ABCB1 -0.059317835 6.9778335 -0.9902077 0.3705749 0.61242995 -6.40813651345 5243
ABCB10 -0.1696241 6.786578 -2.561749 0.01192186 0.06039385 -3.8110864099 23456
ABCB11 0.04964614 6.143943 1.757933 0.08184853 0.2665927 -5.468906804 8647
ABCB4 -0.003987986 5.941482 -0.1503999 0.880755 0.9585716 -6.9815883027 5244
ABCB5 -0.001193059 5.794525 -0.04986498 0.9603304 0.9857169 -6.9916714156 340273
ABCB6 0.1214714 7.762795 2.207045 0.02962024 0.1258369 -4.6117180727 10058
ABCB7 -0.03198601 7.168755 -0.377202 0.7068306 0.8816592 -6.9217033893 22
ABCB8 0.0899914 6.032999 2.803735 0.006079148 0.03457191 -3.2052628824 11194
ABCB9 -0.0406367933333333 6.82610066666667 -0.497447666666667 0.10349237 0.2723239 -5.26895205793333 23457
ABCC1 0.177340925 6.3540835 3.412905 0.08295305119565 0.2122634347065 -0.0536248765999998 4363
ABCC10 -0.1117981 6.852719 -3.28687 0.001402352 0.009821104 -1.8592858556 89845
ABCC11 0.017410615 6.18474766666667 0.609114923333333 0.601355966666667 0.745688633333333 -6.5856951904 85320
ABCC12 -0.02875054 6.234588 -1.093309 0.2769103 0.5678739 -6.3978238459 94160
ABCC13 0.00605128433333333 6.10500466666667 0.263558266666667 0.463706833333333 0.698217666666667 -6.59750094083333 NA
ABCC2 0.06506018 6.165268 2.129029 0.03573177 0.1456697 -4.7734127507 1244
ABCC3 -0.368610758 7.18192 -3.40573305 0.480589700300542 0.493044559184645 2.6332149373 8714
ABCC4 1.09670375 8.813374 8.979486 9.83802305e-14 6.20603215e-12 22.46905895115 10257
ABCC5 0.039855864 7.68025433333333 0.92049859 0.437782933333333 0.614398733333333 -6.3495610157 10057
ABCC6 -0.0452445543333333 6.08979433333333 -1.03279903333333 0.231293127283333 0.405270855666667 -4.95837548023333 368
ABCC8 -0.1961383 7.176254 -1.622021 0.1079781 0.3224894 -5.6924831853 6833
ABCC9 -0.0112171126666667 6.09383 -0.414831533333333 0.6804135 0.867641333333333 -6.90253677006667 10060
ABCD1 -0.186257 7.259907 -3.289342 0.001391308 0.009759213 -1.8519527807 215
ABCD2 -0.0050798665 5.971013 -0.231225975 0.8203708 0.92764255 -6.9507946343 225
ABCD3 -0.02646925 6.753533 -0.7349096 0.4641312 0.7372245 -6.7231398794 5825
ABCD4 0.03254370575 6.15649225 1.260632325 0.295654245 0.47953025 -6.014625384525 NA
ABCE1 0.23395635 7.6358585 3.9157975 0.000739480575 0.00518581695 0.27360877345 6059
ABCF1 -0.062207115 9.4109455 -1.5560605 0.161406065 0.3720479 -5.69570130575 23
ABCF2 -0.000799693333333328 6.69133366666667 -0.606544 0.0243859918333333 0.0839394846666667 -2.33208979563333 10061
ABCF3 0.1136449 7.338178 2.711454 0.007898295 0.04300222 -3.4418507374 55324
ABCG1 0.169434689666667 6.35623416666667 2.72447415 0.382372172605675 0.452544641350584 0.419265447066667 9619
ABCG2 -0.219505 6.170377 -6.063343 2.434988e-08 5.329152e-07 8.6445823991 9429
ABCG4 -0.1334039 6.099518 -5.031756 2.174284e-06 3.0967e-05 4.2882807201 64137
ABCG5 -0.003895789 6.251153 -0.1390968 0.8896562 0.9619773 -6.9832269246 64240
ABCG8 0.002843783 5.948517 0.1334081 0.8941414 0.9633402 -6.9840032287 64241
ABHD1 -0.03364718 6.454366 -0.7012996 0.4847607 0.7516278 -6.7471912111 84696
ABHD10 0.2354463 7.78178 3.205435 0.001815593 0.0122974 -2.0984182447 55347
ABHD11 0.274235466666667 6.75201266666667 3.80822233333333 0.000801879733333333 0.00543677576666667 -0.140570100066667 83451
ABHD12 0.514908666666667 7.82538433333333 5.343448 3.88142403666667e-06 4.97790165333333e-05 5.67239595196667 26090
ABHD12B 0.01729198 6.010442 0.782962033333333 0.2297992 0.472041566666667 -6.0660589684 145447
ABHD13 0.01694858 6.082293 0.66269785 0.510838 0.76829835 -6.7693056525 84945
ABHD14A -0.07825071 7.977912 -1.598192 0.1131861 0.3326917 -5.7299297736 25864
ABHD2 0.12009086 6.422625 1.83372533333333 0.108419726733333 0.226335853266667 -3.29605255183333 11057
ABHD3 -0.01150196 6.701702 -0.2488747 0.8039731 0.9267882 -6.9619031849 171586
ABHD4 2.560874e-05 7.133685 0.0004413986 0.9996487 0.9998131 -6.9929167331 63874
ABHD5 -0.01288979 6.302774 -0.3391293 0.7352303 0.8958698 -6.9353456822 51099
ABHD6 -0.2040401 6.831181 -5.519382 2.732403e-07 4.754537e-06 6.2946229302 57406
ABHD7 0.0881147 6.12997 1.939658 0.05526624 0.2012886 -5.1436927397 253152
ABHD8 -0.2116542 7.860279 -4.031551 0.0001089502 0.001028253 0.5401228292 79575
ABHD9 -0.1122809 6.180861 -4.153443 6.951252e-05 0.0006906112 0.9669450402 79852
ABI1 -0.00133213 6.4772045 0.20439375 0.62317585 0.82966745 -6.84541347055 10006
ABI2 0.1555086959 6.47411575 2.88417698 0.356258820000167 0.443196490009291 0.332960406075 10152
ABI3 -0.1287026 6.340541 -3.347819 0.001152595 0.008262275 -1.6771690788 51225
ABI3BP -0.4372167 6.94257 -4.952011 3.023597e-06 4.185037e-05 3.9703364003 25890
ABL1 0.049949304 7.36393833333333 0.983897466666667 0.458236794733333 0.574229637 -4.6869647504 25
ABL2 -0.00413276666666667 6.24849266666667 -0.115438766666667 0.5052055 0.761364233333333 -6.75485880966667 27
ABLIM1 -0.02415539705 7.10866575 0.13932052025 0.3199076015 0.419728125 -5.1964462034 3983
ABLIM2 0.1697568 6.718236 2.916561 0.004378272 0.02621037 -2.9068753885 84448
ABLIM3 -0.1277968 6.6464 -2.42485 0.01712675 0.08113588 -4.1326384258 22885
ABO -0.007997483 5.956859 -0.3552785 0.7231365 0.8901662 -6.9297357197 28
ABP1 -1.105549 7.106803 -7.176817 1.325073e-10 4.631284e-09 13.7382682877 26
ABR -0.104077249666667 7.06384466666667 -1.71853243333333 0.405938717841333 0.549242560743333 -3.41006439803333 29
ABRA -0.01624291 6.017218 -0.8756522 0.383338 0.6733153 -6.610354768 137735
ABT1 -0.008034827 6.263057 -0.2002645 0.8416844 0.9414276 -6.9728329456 29777
ABTB1 -0.149200195 7.52081 -2.374766 0.1520250986 0.300448707 -3.49163913615 80325
ABTB2 -0.1159908 6.493605 -1.876254 0.06356498 0.2231785 -5.2605441506 25841
ACAA1 0.1268074 9.592442 1.651395 0.1018255 0.3103046 -5.6456019709 30
ACAA2 -0.2037266 6.437635 -4.340155 3.437811e-05 0.0003718461 1.637842164 10449
ACACA 0.370814736666667 8.78211733333333 5.02712076666667 0.134804333667539 0.230389576583721 6.78178208213333 31
ACACB -0.8214723 8.78173 -12.70184 1.645917e-22 9.88607e-20 40.6871796942 32
ACAD10 0.1419364 6.813856 2.589649 0.01105483 0.05670425 -3.7436561025 80724
ACAD11 -0.09238382 8.90565 -1.532412 0.1286091 0.3626157 -5.8305633516 84129
ACAD8 0.299393765 7.7452235 3.1722145 0.02309813756 0.08838551745 -1.7043493759 27034
ACAD9 0.05877015 8.705524 1.760493 0.08141139 0.2655422 -5.4645334653 28976
ACADL -0.3868894 7.435615 -3.240278 0.001626528 0.01118025 -1.9966951166 33
ACADM 0.09230455 8.3304955 1.2819839 0.3575481 0.5044989 -5.817148721 34
ACADS -0.154747 6.817333 -3.715621 0.0003356441 0.002811114 -0.5229792198 35
ACADSB 0.108026 6.421223 2.766092 0.006769179 0.03779802 -3.3025899766 36
ACADVL -0.0712118 9.37401166666667 -1.841629 0.001461514667245 0.00899903337406333 2.53011475326667 37
ACAN -0.01117719 5.881842 -0.5480979 0.584858 0.8168986 -6.8426782798 176
ACAT1 0.03697219 9.575223 0.4503421 0.6534481 0.8557668 -6.8914403263 38
ACAT2 0.001280085 7.67733 0.5153794 0.48018715 0.6852932 -6.53761822615 39
ACBD3 0.209908 8.278453 4.165454 6.647206e-05 0.0006647479 1.0094861633 64746
ACBD4 -0.03991052 6.324363 -0.9482068 0.3453322 0.6387332 -6.5446317743 79777
ACBD5 0.02980951 6.01636733333333 0.8944634 0.167542858533333 0.313220189333333 -4.05241481 91452
ACBD6 0.07503499 7.469486 1.701138 0.09205483 0.2904191 -5.5643971805 84320
