logFC AveExpr t P.Value adj.P.Val B
ABCC2 1.04447821448812 2.71722955748897 3.21553286063921 0.00224847845064037 0.0146675688657827 -1.95048025307156
ABCG2 -1.04969582351103 5.26051088396418 -5.21186412434287 3.32287444867559e-06 9.16735348889242e-05 4.235121964019
ABO -1.09522692241293 3.87685862014247 -5.42759395028387 1.54637394627943e-06 5.08718003115933e-05 4.97234965383448
ACADL -1.24099951196119 6.70767466131612 -5.02411994827009 6.42482747064456e-06 0.000154737444059161 3.6007423254703
ACOT6 1.06712800142699 2.3127796102 3.84167760765341 0.000336113245971472 0.00348252060170243 -0.173389503726291
ACOX2 -1.68000841302065 2.79082679980296 -4.6498446950804 2.34142896945188e-05 0.000439956612755475 2.36015617696135
ACSBG1 -1.47151397787187 2.79446768441048 -6.11032412441511 1.32262225608792e-07 7.43556129251368e-06 7.34904265210824
ACSF2 -1.62407091446426 4.97318388768995 -5.77627072904589 4.43142465294924e-07 1.89010682999105e-05 6.17925933061009
ACSM1 2.17547770045462 4.83838269708037 5.19787485002728 3.49095314067176e-06 9.49301104514432e-05 4.18760810958317
ACSS3 -1.50132021703143 5.420269289721 -5.75668345781043 4.75549917281714e-07 2.002386322726e-05 6.11103287088001
ADAM6 1.00727213954131 2.89276088 3.5682977846849 0.000786582027870265 0.00663394312789733 -0.972601389825773
ADAMTS1 -1.22548856614811 7.18069924967391 -3.56328206787847 0.00079872303588528 0.00669841831904273 -0.986943153822858
ADAMTS9-AS2 -1.56145850019101 2.90982357209017 -7.48724035561133 8.65596982467584e-10 1.39951598940515e-07 12.2257973208688
ADCY6-DT 1.69582912644331 4.202829682 5.49256045705412 1.22655531945532e-06 4.18010854540517e-05 5.19590069550775
ADD3 -1.3996230801768 7.4986578704252 -7.26977415819691 1.91522450590795e-09 2.54432086112879e-07 11.455190396656
ADGRB3-DT -1.76773642225428 2.06703034929518 -7.79385369784062 2.83348264013593e-10 5.38022227527075e-08 13.3093201035871
ADGRG2 -1.59370425886072 3.03918423545793 -4.07676205284404 0.00015819849133353 0.00194090937279026 0.539382299514988
ADGRG6 -1.18271553380739 3.63684391838681 -3.93164278926286 0.000252490178768236 0.00280414678305064 0.0967492304694231
ADIRF -1.03709960979385 8.1317193800309 -4.34175442238229 6.61746369332152e-05 0.000990103588605501 1.36787319429699
ADIRF-AS1 -1.26970059571635 4.58652364 -3.94565776739262 0.000241421055439453 0.00272179402881118 0.139132131451819
AFAP1L2 -1.20364074674578 4.99581091967095 -4.87874788816447 1.06553886052197e-05 0.000233854840587159 3.11479372160228
AFF3 -1.45124004789977 5.57054487776336 -4.09307527746674 0.000150031487219374 0.00186040828117389 0.589650234855354
AGR2 2.44209545504855 8.42112826857437 5.91067945506309 2.72748464249233e-07 1.28995798613294e-05 6.64859960391352
AJUBA -1.50219016090661 4.38856722663898 -8.75908074860691 8.74657550657369e-12 3.52339560659919e-09 16.6811529000605
AK5 1.60996177232768 4.81305955600537 3.84814847111716 0.000329300665977284 0.00342554812483202 -0.154072363034428
AKR1B1 -1.02405469358673 6.6882562351233 -5.05293998292499 5.80881936338715e-06 0.000142200170730242 3.69764669845898
ALDH1A2 -1.14956978645212 6.01702807312888 -4.53839863140535 3.41954308887799e-05 0.000592862927720102 1.99790577524546
ALDH2 -1.0589506836363 9.40640114939287 -4.73197786592129 1.76767975190151e-05 0.000350460994157888 2.62935291653635
ALDH3A2 -1.0020283712532 8.69506603088098 -6.97406264872676 5.64829996595877e-09 6.01054042806133e-07 10.4058485284644
ALDH3B2 2.07351511235173 3.97062188323918 5.54879818721901 1.00318432142676e-06 3.49305766143537e-05 5.38993875481447
ALOX12B -1.06386869873891 2.11065069088872 -2.79048446181612 0.00735837376934763 0.0356335272132072 -3.0370060130602
ALOX12P2 -2.31863214505136 3.48854709808693 -5.48333550539506 1.26762584669098e-06 4.29900362348518e-05 5.16411726615083
ALOX15 1.46325929865533 2.70277514557984 3.23448452162801 0.00212820305285449 0.0140869346472187 -1.89960452974456
ALOX15B -2.21637728191047 6.29336089555914 -3.01518222359877 0.00397759480499314 0.0224278710050668 -2.47596874685761
AMACR 2.63659255747505 5.82633297336738 7.08752483412491 3.72942016163582e-09 4.29604745958958e-07 10.8085760315155
ANG -1.33404904486324 6.66461022328619 -5.98265615792486 2.10182778780644e-07 1.05544884639035e-05 6.90070650971438
ANGPT1 -1.1490151859385 3.85819545605678 -6.59388421031238 2.26908277149934e-08 1.76704657835264e-06 9.0571170377838
ANGPTL4 -1.55544625028333 2.54947539209072 -5.38305212042051 1.81199262524186e-06 5.7698824709419e-05 4.81947241737154
ANKH -1.09526171713994 6.64880963348315 -5.12318543024861 4.5405801673636e-06 0.000117318821715933 3.93458008664857
ANKRD36C 1.17242300190729 2.92343991262004 2.92520926931362 0.00510498024067362 0.0271136031160348 -2.70433218283563
ANLN 1.05022714917818 3.61405785727805 3.84961055358783 0.00032777989014106 0.00341654431217995 -0.149705227164774
ANO4 -1.36078445881774 3.779941898 -4.38949949796255 5.64296798901337e-05 0.000876361752396515 1.51971773542657
ANO5 -1.26006286252899 4.8135074376632 -5.05469831912833 5.77317841018559e-06 0.000141493751000283 3.7035647332054
ANTXR2 -1.5728733249859 8.0236623772018 -6.70412140000811 1.51639691973878e-08 1.28906962700034e-06 9.44793321209825
ANXA1 -1.82846134236664 5.85862113826178 -6.27471288226021 7.27307908419566e-08 4.61131847717532e-06 7.92820836088138
ANXA2 -1.58362102988733 7.4798890996817 -7.47102663051695 9.18351183957994e-10 1.44015418374525e-07 12.1683925902653
ANXA2P2 -1.17911129330769 7.66934337370866 -6.81070795980675 1.02680819570662e-08 9.43442226337135e-07 9.82606500952136
AOC1 -3.24437225280608 3.88157941865983 -8.20095900368759 6.48215078866985e-11 1.59056728234455e-08 14.740003482168
AOX1 -1.68829814719575 4.77927610404888 -6.87097063514159 8.23636092245139e-09 7.99003626788691e-07 10.0399288437731
AP5S1 1.35418323798457 3.38134006449222 3.43118548464554 0.00119099554532122 0.00912586116413107 -1.36023912305204
APCDD1 -1.32273262166361 7.01351956694126 -7.30203495681056 1.70222708658996e-09 2.33574673322413e-07 11.5695889941044
APOBEC3B 1.15289075127675 3.52694330289041 3.26692377357685 0.00193630285565583 0.0131292160794583 -1.81206708130752
APOC1 1.52786068912635 6.19539102505686 5.60438138509449 8.22087802232694e-07 3.01871219914917e-05 5.58217138056344
APOE 1.25903419425696 5.08645356613876 5.89877901798619 2.84743708712293e-07 1.33458416463198e-05 6.60696645532169
APOF 1.40754334664343 4.1679752768045 3.88117963840456 0.000296546099426284 0.00317998046053162 -0.055191221878987
AREG -1.01305652301121 2.18308962650951 -3.72714485910556 0.000481668146524901 0.00456021449481156 -0.512309733841959
ARFGEF1-DT -1.96656332363056 2.14884852019539 -6.41003324855747 4.44073632037919e-08 3.07709094465611e-06 8.40624596539645
ARHGAP19-SLIT1 1.38501983047734 1.97914585461757 4.67674365300419 2.13588451811516e-05 0.00040907386037032 2.44811685238225
ARHGAP32 1.05048950790824 6.49982364680722 9.14301078343163 2.24027365798311e-12 1.32017459012434e-09 17.999670785789
ARHGEF19 -1.02715901236695 4.14010874581661 -3.54470580046526 0.000845265732413555 0.00698482859784053 -1.03995428459978
ARHGEF26 1.71839337987695 7.36294603660042 8.85705026132256 6.1705092649601e-12 2.73826195189942e-09 17.0190118364565
ARHGEF38 1.1442309954535 4.33744048994424 4.57521365565961 3.01844823028985e-05 0.000538543838658301 2.11717460182281
ARLNC1 3.10018789942014 5.58499762 5.57909618410038 9.00059697501248e-07 3.21806287565076e-05 5.49466896134514
ARMCX1 -1.52742798146822 7.58463002539917 -5.68634312532865 6.12531185396608e-07 2.44742584939024e-05 5.86640823203103
ASF1B 1.47295690304168 2.11974282985731 3.83245166340528 0.000346061473705468 0.00355732092512319 -0.200900512397197
ASPA -1.18117743136476 3.74672691435625 -4.05362270915115 0.000170525095265202 0.00206062683195036 0.468253665832534
ASPM 1.33849510273603 3.08374498967072 4.80837414518449 1.35905466297875e-05 0.000284310963949325 2.88135302056639
ASPN 1.48529263191502 5.92705381862443 4.32669245041676 6.9575612520302e-05 0.0010306381749545 1.32012713770859
ATF3 -1.32214956045871 5.85208392985725 -2.76394404031172 0.00789871391214142 0.0376212550960342 -3.10119340199343
ATP11A 1.15746336703854 5.16256752598923 4.95168998726624 8.27106558785235e-06 0.000190198031935873 3.35801581668444
ATP8B4 -2.12700902933516 3.51517105375542 -7.20780194106805 2.40218311618388e-09 3.01821284664139e-07 11.2353732848513
AURKA 1.01584826554435 4.74763640002615 5.19921158957358 3.47453667005607e-06 9.47299494475288e-05 4.1921466461931
AVPI1 -1.51703140032951 5.24641403703313 -8.50025546259505 2.20743400827176e-11 6.39450709868391e-09 15.7842566686924
AZGP1 -1.07668968427991 11.0198159564591 -3.8784908952996 0.000299090412056908 0.00319850452540405 -0.0632572548459205
B3GAT1 1.80791918282511 4.86514326871817 6.5259541509802 2.90836184628026e-08 2.18988097573528e-06 8.81647468422564
B3GAT1-DT 2.21474253142767 3.65380006757714 7.46445593170852 9.40637252704082e-10 1.46409486415291e-07 12.1451264229783
B3GNT5 -1.10918304186027 3.88576755221427 -4.38703012500603 5.68974450805376e-05 0.000879044453366498 1.51184612763415
B4GALT2 1.18475017184072 5.51811155894244 9.61120286836355 4.34132011691651e-13 3.93682233384902e-10 19.5861306881658
BCL11A -2.18721092462399 4.04160336526186 -7.06552458370094 4.04197136286578e-09 4.60674298990664e-07 10.7304924356305
BEND4 1.37838895622527 5.90710535 6.63214584108096 1.97292316028074e-08 1.58877445382145e-06 9.19272548170248
BEX1 -2.949402369824 5.20686925113771 -7.21794376902105 2.31474263408483e-09 2.94381628775045e-07 11.27135152812
BEX5 -1.19707287790995 6.81401118 -2.84249808772514 0.00639709773061378 0.031994103356645 -2.90991337937411
BHLHE40 -1.11921559336584 7.18568617413105 -3.6567582199706 0.000599344939990621 0.00540339423813698 -0.717706795161989
BICD1 1.55522322360959 5.8509886812609 7.66296575625621 4.56179035804241e-10 8.06315775404157e-08 12.8473009678325
BIRC5 1.38629678176423 3.49846649791593 5.62711123251081 7.57728147117083e-07 2.82213142221804e-05 5.66090637724259
BLID -1.13804333272401 1.83548663477229 -3.10927450615393 0.00305038830593459 0.0183719170941027 -2.23203324652253
BMP2 -1.16403090856688 2.46371937648228 -3.37562392227245 0.00140572220235756 0.0102874203419549 -1.51464239823318
BMX 1.27154420729074 2.00172716143582 4.24971241041058 8.97923087631258e-05 0.00125522666479391 1.07729880151222
