"down_names" "Freq"
"1" "ABP1" 2
"2" "ACOX2" 4
"3" "ACSF2" 3
"4" "ACSS3" 2
"5" "ACTC1" 2
"6" "ADAM33" 2
"7" "ADAMTS5" 2
"8" "ADAMTS9-AS2" 2
"9" "ADD3" 2
"10" "ADGRB3-DT" 2
"11" "ADRA2C" 2
"12" "AGL" 2
"13" "AHNAK2" 2
"14" "AKR1B1" 2
"15" "ALDH2" 2
"16" "ALOX12P2" 2
"17" "AMT" 2
"18" "ANG" 2
"19" "ANGPT1" 3
"20" "ANGPTL2" 2
"21" "ANGPTL4" 2
"22" "ANKRD35" 2
"23" "ANO4" 3
"24" "ANO5" 3
"25" "ANXA1" 2
"26" "AOX1" 5
"27" "AQP3" 2
"28" "ARMCX1" 3
"29" "ASPA" 4
"30" "ATP1A2" 4
"31" "ATP1B1" 2
"32" "ATP8B4" 2
"33" "ATRNL1" 2
"34" "AVPI1" 3
"35" "B3GNT8" 2
"36" "BCL11A" 3
"37" "BEX1" 2
"38" "BHMT2" 2
"39" "BMP2" 2
"40" "BMP4" 2
"41" "BNIPL" 2
"42" "BOLA3-DT" 2
"43" "BST2" 2
"44" "C10orf82" 2
"45" "C16orf89" 2
"46" "C19orf33" 2
"47" "C2orf40" 2
"48" "C4orf36" 2
"49" "C7" 2
"50" "C8orf88" 2
"51" "CA14" 2
"52" "CACHD1" 2
"53" "CACNB4" 2
"54" "CAPG" 2
"55" "CAPNS2" 2
"56" "CARTPT" 2
"57" "CAV1" 3
"58" "CAV2" 3
"59" "CAVIN3" 2
"60" "CCDC178" 2
"61" "CCDC3" 2
"62" "CCDC68" 3
"63" "CCDC8" 2
"64" "CCDC80" 3
"65" "CCEPR" 2
"66" "CCK" 3
"67" "CD177" 2
"68" "CD200" 2
"69" "CD38" 3
"70" "CDC42EP3" 2
"71" "CFD" 4
"72" "CFH" 3
"73" "CFL2" 2
"74" "CHGB" 2
"75" "CHODL" 2
"76" "CHP2" 2
"77" "CHRDL1" 2
"78" "CHRM1" 2
"79" "CHST9" 2
"80" "CIB2" 2
"81" "CLCA2" 2
"82" "CLCA4" 2
"83" "CLIC6" 2
"84" "CLIP3" 2
"85" "CLIP4" 2
"86" "CLU" 3
"87" "CNN1" 2
"88" "CNRIP1" 2
"89" "CNTFR" 2
"90" "COL13A1" 3
"91" "COL16A1" 2
"92" "COL17A1" 4
"93" "COL4A6" 3
"94" "COL6A1" 2
"95" "COL9A1" 2
"96" "CORO6" 2
"97" "COX7A1" 2
"98" "CPA6" 2
"99" "CPAMD8" 3
"100" "CPLX3" 2
"101" "CPM" 2
"102" "CPXM1" 2
"103" "CRIP3" 2
"104" "CRISPLD2" 3
"105" "CRYAB" 5
"106" "CSRP1" 2
"107" "CTF1" 2
"108" "CTTNBP2" 2
"109" "CXCL12" 2
"110" "CXCL17" 2
"111" "CYB5R2" 2
"112" "CYP27A1" 2
"113" "CYP3A5" 4
"114" "CYP3A7-CYP3A51P" 3
"115" "CYP4B1" 4
"116" "CYS1" 2
"117" "CYTL1" 2
"118" "DACT2" 2
"119" "DAPL1" 2
"120" "DDR2" 2
"121" "DEFB1" 3
"122" "DES" 2
"123" "DIRAS3" 2
"124" "DKK1" 3
"125" "DKK3" 3
"126" "DLK2" 2
"127" "DMKN" 3
"128" "DPP4" 2
"129" "DPT" 5
"130" "DPYS" 3
"131" "DPYSL3" 2
"132" "DSC3" 2
"133" "DUOX1" 2
"134" "DUOXA1" 3
"135" "DZIP1" 2
"136" "ECRG4" 2
"137" "EDIL3" 2
"138" "EDN3" 4
"139" "EFEMP1" 3
"140" "EFS" 2
"141" "EHD2" 2
"142" "EID3" 2
"143" "EMP3" 2
"144" "ENHO" 2
"145" "EPHA5" 3
"146" "EPHA5-AS1" 2
"147" "EPHB1" 2
"148" "ERC2" 2
"149" "ETS2" 2
"150" "ETV5" 2
"151" "EVC2" 2
"152" "F10" 2
"153" "FAM107A" 4
"154" "FAM110C" 2
"155" "FAM46B" 2
"156" "FAM83B" 2
"157" "FAT4" 2
"158" "FBLN5" 2
"159" "FBN1" 2
"160" "FBXO17" 2
"161" "FERMT2" 3
"162" "FEZ1" 2
"163" "FGFBP1" 2
"164" "FGFR2" 2
"165" "FHDC1" 2
"166" "FHL1" 4
"167" "FHL2" 2
"168" "FHOD3" 3
"169" "FLNC" 3
"170" "FLRT3" 3
"171" "FOLR1" 2
"172" "FOXF1" 2
"173" "FOXF2" 2
"174" "FOXQ1" 4
"175" "FRMD6" 3
"176" "FXYD1" 2
"177" "FXYD6" 2
